"STATEFIPS","zipcode","agi_stub_weighted_median","total_beneficiaries","total_services","Place_Of_Srvc","Place_Of_Srvc_binary"
"26","48001",3,3448,6399,"O",0
"26","48002",4,12,19,"F",1
"26","48003",4,335,513,"O",0
"26","48005",4,1020,8554.7,"O",0
"26","48009",5,37960,62755.7,"O",0
"26","48014",3,3767,9308,"O",0
"26","48015",2,2912,7756,"O",0
"26","48017",3,16208,28712,"O",0
"26","48021",2,18997,40768,"O",0
"26","48022",3,12,67,"O",0
"26","48023",3,307,1115,"O",0
"26","48025",5,67361,189738.4,"O",0
"26","48026",3,32368,55622.6,"F",1
"26","48030",2,22615,50428.1,"O",0
"26","48033",2,30337,150659.9,"O",0
"26","48034",2,210198,583300.7,"O",0
"26","48035",2,88285,135077,"F",1
"26","48036",2,69029,469446,"O",0
"26","48038",3,180212,361371,"O",0
"26","48039",3,1216,6338,"O",0
"26","48040",3,15395,29661.5,"O",0
"26","48041",3,18,279,"O",0
"26","48042",4,5661,29210,"O",0
"26","48043",2,147341,232222,"F",1
"26","48044",4,26740,61693,"O",0
"26","48045",3,1868,3818.2,"O",0
"26","48047",4,41193,83899,"O",0
"26","48048",2,2809,3864,"O",0
"26","48050",4,2382,3593,"O",0
"26","48051",3,4058,13975,"O",0
"26","48054",4,11761,16517.1,"O",0
"26","48059",3,17269,91773,"O",0
"26","48060",2,199661,762309.2,"O",0
"26","48062",3,5286,24540.3,"O",0
"26","48064",3,82,94,"O",0
"26","48065",4,6755,23227.2,"O",0
"26","48066",2,138833,504095.2,"O",0
"26","48067",4,35920,72300.3,"O",0
"26","48069",5,636,1945,"O",0
"26","48070",5,9866,15790,"O",0
"26","48071",2,103669,506034.9,"O",0
"26","48072",4,84851,137009,"O",0
"26","48073",4,570580,1950342,"F",1
"26","48074",3,4733,9223,"O",0
"26","48075",2,290423,700801,"F",1
"26","48076",3,65723,212074,"O",0
"26","48079",3,2284,6227,"O",0
"26","48080",3,104480,254709,"O",0
"26","48081",3,122697,444817.3,"O",0
"26","48082",3,5499,8167,"O",0
"26","48083",3,67036,186514.8,"O",0
"26","48084",5,546533,1005153.6,"O",0
"26","48085",5,121784,250262.3,"F",1
"26","48088",3,78949,218265,"O",0
"26","48089",2,34881,60432,"F",1
"26","48091",2,47974,225260.2,"O",0
"26","48092",2,34910,99086,"O",0
"26","48093",2,190496,390410.6,"O",0
"26","48094",4,8834,20080.7,"O",0
"26","48095",5,16040,45296,"O",0
"26","48097",3,4751,8561,"O",0
"26","48098",5,128697,241790,"O",0
"26","48101",3,57203,164192.6,"O",0
"26","48103",5,39129,78700,"O",0
"26","48104",4,19403,59442,"O",0
"26","48105",5,120578,179017,"O",0
"26","48108",3,73986,439309.8,"O",0
"26","48111",3,8670,19070,"O",0
"26","48114",5,29337,62232,"O",0
"26","48116",5,37430,105553,"O",0
"26","48117",3,993,1741,"O",0
"26","48118",4,47631,82524,"O",0
"26","48120",2,6048,14347.1,"O",0
"26","48122",2,419,512,"O",0
"26","48124",3,325136,575441,"F",1
"26","48125",2,5070,11908,"O",0
"26","48126",2,170933,400916,"O",0
"26","48127",2,23754,64845.8,"O",0
"26","48128",3,3694,13724,"O",0
"26","48130",5,10296,19687,"O",0
"26","48131",3,2320,5560,"O",0
"26","48134",3,9992,29062.8,"O",0
"26","48135",2,114155,204326.1,"F",1
"26","48138",5,3848,6775,"O",0
"26","48140",4,222,257,"F",1
"26","48141",2,2366,5173.2,"O",0
"26","48144",4,8560,13802,"O",0
"26","48146",2,14425,97778.9,"O",0
"26","48150",3,73577,196328,"O",0
"26","48152",4,150024,318008.2,"O",0
"26","48154",4,125886,282098.7,"O",0
"26","48157",2,193,226,"O",0
"26","48158",4,788,1398,"O",0
"26","48160",3,4722,10231,"O",0
"26","48161",2,20166,69895.5,"O",0
"26","48162",3,103056,234124.5,"O",0
"26","48164",4,159,169,"F",1
"26","48165",5,3553,7609,"O",0
"26","48166",3,2772,4974,"O",0
"26","48167",5,28700,87590,"O",0
"26","48168",5,13562,24156.4,"O",0
"26","48169",4,5836,11631,"O",0
"26","48170",5,35975,130355.1,"O",0
"26","48173",3,4499,7838.9,"O",0
"26","48174",2,9153,57249.3,"O",0
"26","48176",5,6516,21459,"O",0
"26","48178",5,16875,39128,"O",0
"26","48179",3,126,239,"F",1
"26","48180",2,76121,203715.5,"O",0
"26","48182",4,3842,10050.5,"O",0
"26","48183",3,98069,319382.7,"O",0
"26","48184",2,44786,77389.5,"O",0
"26","48185",2,28318,157071.2,"O",0
"26","48186",2,14145,27548,"O",0
"26","48187",4,54642,116416,"O",0
"26","48188",4,13131,46595.3,"O",0
"26","48189",3,5055,8864,"O",0
"26","48191",3,68,155,"O",0
"26","48192",3,98523,164150.9,"O",0
"26","48193",3,24319,60390.8,"O",0
"26","48195",3,72670,251730,"O",0
"26","48197",3,409092,727516,"F",1
"26","48198",2,14747,29557,"O",0
"26","48201",2,404413,708583,"F",1
"26","48202",2,508850,757238,"F",1
"26","48203",1,3343,14592,"O",0
"26","48204",1,726,3874,"O",0
"26","48205",1,1293,3544,"O",0
"26","48206",2,2255,6754,"O",0
"26","48207",2,9621,31690.2,"O",0
"26","48208",2,1197,2749,"O",0
"26","48209",2,2506,5197,"O",0
"26","48210",2,4779,8457.5,"O",0
"26","48211",1,796,3210,"F",1
"26","48212",2,16704,43526,"O",0
"26","48213",1,3086,9916,"O",0
"26","48214",2,15672,34183,"O",0
"26","48215",2,4414,9695,"O",0
"26","48216",2,1925,3659,"O",0
"26","48218",2,1961,3587,"O",0
"26","48219",2,3396,15510,"O",0
"26","48220",3,20504,52875.4,"O",0
"26","48221",2,6677,17619,"O",0
"26","48223",2,4557,7875,"O",0
"26","48224",2,5704,11844,"O",0
"26","48225",2,4855,15009,"O",0
"26","48226",3,17349,48656.8,"F",1
"26","48227",2,1944,4458,"O",0
"26","48228",1,5969,13739,"O",0
"26","48229",2,265,1066.1,"F",1
"26","48230",5,36459,54220.4,"F",1
"26","48234",1,5097,12796,"O",0
"26","48235",2,70167,130668,"F",1
"26","48236",5,113672,219126.8,"F",1
"26","48237",2,15388,66399.1,"O",0
"26","48238",1,359,749,"O",0
"26","48239",2,9454,26351.4,"O",0
"26","48240",2,3549,5876,"O",0
"26","48301",5,11377,21254,"O",0
"26","48302",5,67064,167871.5,"O",0
"26","48304",5,36237,66904,"O",0
"26","48306",5,12722,23721.7,"O",0
"26","48307",4,275535,712188.2,"O",0
"26","48309",5,42884,375420.1,"O",0
"26","48310",2,87778,299515,"O",0
"26","48312",3,66220,306124,"O",0
"26","48313",3,59291,126413,"O",0
"26","48314",3,75446,493568.7,"O",0
"26","48315",4,78853,199397,"O",0
"26","48316",4,11958,33038.2,"O",0
"26","48317",3,22403,65749.7,"O",0
"26","48320",3,5114,12042,"O",0
"26","48322",4,141053,305529.7,"O",0
"26","48323",5,66567,304632,"O",0
"26","48324",5,9458,19628,"O",0
"26","48326",3,31168,97238.7,"O",0
"26","48327",3,48411,112879,"O",0
"26","48328",2,58838,122059,"O",0
"26","48329",3,8606,28062.9,"O",0
"26","48331",5,56868,109204.6,"O",0
"26","48334",4,182754,619319,"O",0
"26","48335",4,8744,20814,"O",0
"26","48336",3,163489,298858.9,"F",1
"26","48340",2,1584,6028,"O",0
"26","48341",2,133695,318665,"F",1
"26","48342",2,62519,166189.6,"F",1
"26","48346",3,63075,132043,"O",0
"26","48348",5,7256,14499,"O",0
"26","48350",4,232,756,"O",0
"26","48353",4,5212,16062,"O",0
"26","48356",4,1241,1882,"O",0
"26","48357",4,4384,22825,"O",0
"26","48359",4,3883,19914.1,"O",0
"26","48360",5,13432,32951,"O",0
"26","48362",4,4790,16166,"O",0
"26","48363",5,1020,1175,"F",1
"26","48367",4,125,1323.6,"F",1
"26","48371",4,13654,38554.2,"O",0
"26","48374",5,52015,99983,"O",0
"26","48375",5,368023,591905,"O",0
"26","48377",4,69221,143160,"O",0
"26","48381",4,20156,44347.1,"O",0
"26","48382",5,56006,102326.3,"O",0
"26","48383",4,652,656,"O",0
"26","48386",4,2570,3920,"O",0
"26","48390",3,23570,37980.3,"O",0
"26","48393",3,2184,5258.3,"O",0
"26","48413",2,21277,60089.3,"O",0
"26","48415",3,4864,6667,"O",0
"26","48416",2,1546,4337,"O",0
"26","48419",2,73,276,"O",0
"26","48420",2,5089,10337,"O",0
"26","48421",3,54,60,"F",1
"26","48422",2,3249,15584.5,"O",0
"26","48423",3,19523,43722,"O",0
"26","48427",2,744,1233,"F",1
"26","48429",2,3547,5963,"O",0
"26","48430",4,28079,67708,"O",0
"26","48433",3,12530,28246,"O",0
"26","48435",2,128,246,"O",0
"26","48438",4,1077,1961,"O",0
"26","48439",3,169998,1724456.8,"O",0
"26","48441",3,936,9023,"O",0
"26","48442",3,5355,34797.2,"O",0
"26","48444",3,4615,8603,"O",0
"26","48446",3,68146,145683.3,"O",0
"26","48450",3,3317,6419,"O",0
"26","48451",4,2322,3581,"O",0
"26","48453",2,6002,14005,"O",0
"26","48454",3,20,30,"O",0
"26","48455",4,1992,5357,"O",0
"26","48457",2,1152,2872,"O",0
"26","48458",2,7828,14007,"O",0
"26","48460",3,756,9297.5,"F",1
"26","48461",3,1455,2707,"O",0
"26","48462",4,4333,13455.5,"O",0
"26","48463",3,197,201,"O",0
"26","48466",2,14,220,"O",0
"26","48467",3,447,816,"O",0
"26","48469",2,552,1095,"O",0
"26","48471",2,4822,9076,"O",0
"26","48473",3,5812,15040,"O",0
"26","48475",3,13,14,"O",0
"26","48502",2,1157,2106,"O",0
"26","48503",2,83891,540456.8,"O",0
"26","48504",2,34982,83385,"O",0
"26","48505",1,3330,6045,"O",0
"26","48506",2,3848,9578,"O",0
"26","48507",2,139804,499066.9,"O",0
"26","48509",2,24870,41569,"O",0
"26","48519",2,4664,7852,"O",0
"26","48529",2,3479,4582,"O",0
"26","48532",2,246212,791900,"O",0
"26","48601",2,105067,580813.7,"F",1
"26","48602",2,122783,174249,"F",1
"26","48603",3,170662,383203,"F",1
"26","48604",2,103881,302901,"O",0
"26","48607",1,727,1131,"O",0
"26","48609",3,2671,4880,"O",0
"26","48610",2,166,216,"O",0
"26","48611",3,3886,13780,"O",0
"26","48612",2,1114,1160,"O",0
"26","48616",3,4751,6905,"O",0
"26","48617",2,13192,26302,"O",0
"26","48621",2,541,5619,"O",0
"26","48622",2,1157,1215,"O",0
"26","48623",4,2412,7815,"O",0
"26","48624",2,6042,11715,"O",0
"26","48625",2,3235,12144,"O",0
"26","48626",3,951,2414,"O",0
"26","48629",2,4199,26752.7,"O",0
"26","48634",3,123,428,"F",1
"26","48635",2,71,181,"O",0
"26","48638",3,14864,29988,"O",0
"26","48640",3,107518,186251,"F",1
"26","48642",4,13064,40615,"O",0
"26","48647",2,862,10174.9,"O",0
"26","48650",3,1453,7049.3,"O",0
"26","48651",2,3654,21287.5,"O",0
"26","48653",2,4174,22164.6,"O",0
"26","48654",2,183,1234,"O",0
"26","48655",3,2302,6165,"O",0
"26","48656",2,1927,4477.4,"O",0
"26","48657",3,990,1655,"O",0
"26","48658",2,6610,9012,"O",0
"26","48659",2,1003,1103,"O",0
"26","48661",2,34322,111766.6,"O",0
"26","48703",2,5690,8628,"F",1
"26","48706",2,79775,171732,"O",0
"26","48708",2,71073,175730,"O",0
"26","48722",2,2135,9069,"O",0
"26","48723",2,21909,54461,"O",0
"26","48725",2,736,1994,"O",0
"26","48726",2,3289,30380,"O",0
"26","48730",2,2233,2589,"O",0
"26","48731",2,1538,3091,"O",0
"26","48732",3,13385,18680,"O",0
"26","48734",4,8640,16915,"O",0
"26","48739",2,923,2215,"O",0
"26","48740",2,1391,11952.8,"O",0
